;City;Name;Ticket;Price;;ID;Room;Date;Website;;Type;Logo;Genre
0;Aarhus C;Klarinetmatiné;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/31126/47231/;Gratis;1398668413;47231;Kammermusiksalen;2014-04-27T15:00:00;http://www.musikhusetaarhus.dk/kalender/31126/;593;Musik;http://static.billetlugen.dk/images/events/b/31126.jpg;Klassisk koncert,Gratis
0;Aarhus C;Klassiske eksamenskoncerter;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29964/48720/;Gratis;1402556422;48720;Lille Sal;2014-06-11T13:00:00;http://www.musikhusetaarhus.dk/kalender/29964/;803;Musik;http://static.billetlugen.dk/images/events/b/29964.jpg;Klassisk koncert,Gratis
0;Aarhus C;Eine Alpensinfonie;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29098/37692/;130.00 - 295.00 DKK;1399186813;37692;Symfonisk Sal;2014-05-02T19:30:00;http://www.musikhusetaarhus.dk/kalender/29098/;234;Musik;http://static.billetlugen.dk/images/events/b/29098.jpg;Klassisk,Klassisk koncert
0;Aarhus C;Martin Fröst og Den Danske Kvartet;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/31278/41800/;320.00 DKK;1399446015;41800;Lille Sal;2014-05-06T19:30:00;http://www.musikhusetaarhus.dk/kalender/31278/;262;Musik;http://static.billetlugen.dk/images/events/b/31278.jpg;Klassisk koncert
1;Aarhus C;KAMMERKONCERT;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29048/46774/;85.00 - 115.00 DKK;1403593223;46774;Symfonisk Sal;2014-11-23T15:00:00;http://www.musikhusetaarhus.dk/kalender/29048/;902;Musik;http://static.billetlugen.dk/images/events/b/29048.jpg;Klassisk
1;Aarhus C;KAMMERKONCERT;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29048/46775/;85.00 - 115.00 DKK;1403593223;46775;Symfonisk Sal;2015-01-25T15:00:00;http://www.musikhusetaarhus.dk/kalender/29048/;903;Musik;http://static.billetlugen.dk/images/events/b/29048.jpg;Klassisk
1;Aarhus C;KAMMERKONCERT;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29048/46776/;85.00 - 115.00 DKK;1403593223;46776;Symfonisk Sal;2015-03-22T15:00:00;http://www.musikhusetaarhus.dk/kalender/29048/;904;Musik;http://static.billetlugen.dk/images/events/b/29048.jpg;Klassisk
1;Aarhus C;8000 Comedy;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33252/47481/;Gratis;1407308428;47481;Caféen;2014-08-22T16:00:00;http://www.musikhusetaarhus.dk/kalender/33252/;623;Andet;http://static.billetlugen.dk/images/events/b/33252.jpg;Gratis
1;Aarhus C;Thomas Warberg - EKSTRA SHOW;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32738/51467/;260.00 DKK;1404370820;51467;Rytmisk Sal;2014-10-25T17:00:00;http://www.musikhusetaarhus.dk/kalender/32738/;905;Andet;http://static.billetlugen.dk/images/events/b/32738.jpg;Standup/Comedy
1;Aarhus C;The Great Guiseppe Verdi Night;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33528/47197/;445.00 - 495.00 DKK;1398322812;47197;Store Sal;2015-01-16T20:00:00;http://www.musikhusetaarhus.dk/kalender/33528/;634;Musik;http://static.billetlugen.dk/images/events/b/33528.jpg;Opera/Operette
1;Aarhus C;Svanesøen;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33538/47193/;445.00 - 495.00 DKK;1398322812;47193;Store Sal;2015-02-11T20:00:00;http://www.musikhusetaarhus.dk/kalender/33538/;635;Andet;http://static.billetlugen.dk/images/events/b/33538.jpg;Ballet
1;Aarhus C;8000 Comedy;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33252/47812/;Gratis;1407308428;47812;Caféen;2014-09-26T16:00:00;http://www.musikhusetaarhus.dk/kalender/33252/;631;Andet;http://static.billetlugen.dk/images/events/b/33252.jpg;Gratis
1;Aarhus C;8000 Comedy;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33252/47813/;Gratis;1407308428;47813;Caféen;2014-10-24T16:00:00;http://www.musikhusetaarhus.dk/kalender/33252/;632;Andet;http://static.billetlugen.dk/images/events/b/33252.jpg;Gratis
1;Aarhus C;8000 Comedy;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33252/47482/;Gratis;1407308428;47482;Caféen;2014-08-29T16:00:00;http://www.musikhusetaarhus.dk/kalender/33252/;624;Andet;http://static.billetlugen.dk/images/events/b/33252.jpg;Gratis
1;Aarhus C;8000 Comedy;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33252/47814/;Gratis;1407308428;47814;Caféen;2014-11-28T16:00:00;http://www.musikhusetaarhus.dk/kalender/33252/;633;Andet;http://static.billetlugen.dk/images/events/b/33252.jpg;Gratis
1;Aarhus C;Blood Sweat Drum +  Bass;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/34229/48821/;80.00 - 110.00 DKK;1401174020;48821;Rytmisk Sal;2014-09-04T20:00:00;http://www.musikhusetaarhus.dk/kalender/34229/;832;Musik;http://static.billetlugen.dk/images/events/b/34229.jpg;Jazz
1;Aarhus C;Peter Viskinde Band;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33591/47336/;250.00 DKK;1398409215;47336;Lille Sal;2014-10-04T20:00:00;http://www.musikhusetaarhus.dk/kalender/33591/;639;Musik;http://static.billetlugen.dk/images/events/b/33591.jpg;Rock,Pop
1;Aarhus C;Familiekoncert - gratis;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33747/47560/;Gratis;1398409215;47560;Symfonisk Sal;2014-10-09T17:00:00;http://www.musikhusetaarhus.dk/kalender/33747/;640;Musik;http://static.billetlugen.dk/images/events/b/33747.jpg;null
1;Aarhus C;Familiekoncert - gratis;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33746/47559/;Gratis;1398409215;47559;Symfonisk Sal;2014-11-01T11:00:00;http://www.musikhusetaarhus.dk/kalender/33746/;641;Musik;http://static.billetlugen.dk/images/events/b/33746.jpg;null
1;Aarhus C;Hist & Her - Sanseudstilling;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/34821/51455/;Gratis;1406876425;51455;Balkongalleriet;2014-09-03T10:00:00;http://www.musikhusetaarhus.dk/kalender/34821/;973;Andet;http://static.billetlugen.dk/images/events/b/34821.jpg;Familie/børn,Gratis
